INFO:pytorch_lightning.profilers.profiler:FIT Profiler Report

--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Action                                                               |  Mean duration (s)    |  Num calls            |  Total time (s)       |  Percentage %         |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Total                                                                |  -                    |  37007                |  902.16               |  100 %                |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  run_training_epoch                                                   |  879.54               |  1                    |  879.54               |  97.492               |
|  run_training_batch                                                   |  1.0326               |  840                  |  867.4                |  96.147               |
|  [LightningModule]RWKV_shared.optimizer_step                          |  1.0284               |  840                  |  863.83               |  95.751               |
|  [Strategy]DeepSpeedStrategy.backward                                 |  0.74901              |  840                  |  629.16               |  69.74                |
|  [Strategy]DeepSpeedStrategy.training_step                            |  0.25165              |  840                  |  211.39               |  23.431               |
|  [Callback]train_callback.on_train_batch_end                          |  0.0043438            |  840                  |  3.6488               |  0.40445              |
|  [Callback]TQDMProgressBar.on_train_batch_end                         |  0.002895             |  840                  |  2.4318               |  0.26955              |
|  [Callback]train_callback.on_train_batch_start                        |  0.0027052            |  840                  |  2.2723               |  0.25188              |
|  [TrainingEpochLoop].train_dataloader_next                            |  0.0025342            |  840                  |  2.1287               |  0.23596              |
|  [LightningModule]RWKV_shared.training_step_end                       |  0.00075411           |  840                  |  0.63345              |  0.070215             |
|  [Callback]train_callback.on_train_epoch_end                          |  0.4767               |  1                    |  0.4767               |  0.052839             |
|  [LightningModule]RWKV_shared.configure_optimizers                    |  0.42278              |  1                    |  0.42278              |  0.046863             |
|  [Strategy]DeepSpeedStrategy.batch_to_device                          |  0.00048639           |  840                  |  0.40857              |  0.045288             |
|  [LightningModule]RWKV_shared.transfer_batch_to_device                |  0.00034408           |  840                  |  0.28902              |  0.032037             |
|  [LightningModule]RWKV_shared.configure_gradient_clipping             |  7.5461e-05           |  840                  |  0.063387             |  0.0070261            |
|  [LightningModule]RWKV_shared.optimizer_zero_grad                     |  7.4605e-05           |  840                  |  0.062668             |  0.0069465            |
|  [Callback]train_callback.on_after_backward                           |  1.443e-05            |  840                  |  0.012121             |  0.0013435            |
|  [Callback]ModelSummary.on_train_batch_end                            |  1.0356e-05           |  840                  |  0.0086994            |  0.00096428           |
|  [Callback]train_callback.on_before_optimizer_step                    |  6.1195e-06           |  840                  |  0.0051404            |  0.00056978           |
|  [Callback]TQDMProgressBar.on_train_batch_start                       |  4.8541e-06           |  840                  |  0.0040775            |  0.00045197           |
|  [Callback]TQDMProgressBar.on_after_backward                          |  4.5174e-06           |  840                  |  0.0037946            |  0.00042061           |
|  [LightningModule]RWKV_shared.on_after_backward                       |  4.4977e-06           |  840                  |  0.0037781            |  0.00041878           |
|  [LightningModule]RWKV_shared.on_before_batch_transfer                |  4.1334e-06           |  840                  |  0.0034721            |  0.00038486           |
|  [Callback]ModelSummary.on_fit_start                                  |  0.0033032            |  1                    |  0.0033032            |  0.00036615           |
|  [Callback]GradientAccumulationScheduler.on_train_batch_end           |  3.6586e-06           |  840                  |  0.0030732            |  0.00034065           |
|  [LightningModule]RWKV_shared.on_train_batch_end                      |  3.4322e-06           |  840                  |  0.002883             |  0.00031957           |
|  [Callback]TQDMProgressBar.on_before_optimizer_step                   |  3.4026e-06           |  840                  |  0.0028582            |  0.00031682           |
|  [Callback]GradientAccumulationScheduler.on_after_backward            |  3.2667e-06           |  840                  |  0.002744             |  0.00030416           |
|  [Callback]train_callback.on_before_zero_grad                         |  3.2567e-06           |  840                  |  0.0027356            |  0.00030323           |
|  [Callback]ModelSummary.on_after_backward                             |  3.0856e-06           |  840                  |  0.0025919            |  0.0002873            |
|  [Callback]ModelSummary.on_before_optimizer_step                      |  3.0823e-06           |  840                  |  0.0025891            |  0.00028699           |
